title,description,category
Python Hackathon,"Python Hackathon is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
AI Workshop,"AI Workshop is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
Cloud Computing Bootcamp,"Cloud Computing Bootcamp is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
Data Science Summit,"Data Science Summit is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
Web Development Bootcamp,"Web Development Bootcamp is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
Cybersecurity Awareness Session,"Cybersecurity Awareness Session is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
DevOps Essentials,"DevOps Essentials is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
Machine Learning Weekend Camp,"Machine Learning Weekend Camp is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
Blockchain Basics Seminar,"Blockchain Basics Seminar is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
Frontend Frameworks Talk,"Frontend Frameworks Talk is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
Backend Architecture Talk,"Backend Architecture Talk is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
Mobile App Development Workshop,"Mobile App Development Workshop is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
Database Optimization Session,"Database Optimization Session is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
Big Data Analytics Meetup,"Big Data Analytics Meetup is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
Deep Learning Hands-on Lab,"Deep Learning Hands-on Lab is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
Open Source Contribution Drive,"Open Source Contribution Drive is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
Full Stack Developer Day,"Full Stack Developer Day is a technical event focusing on modern tools, programming, and real-world problem solving. Participants will learn concepts, work on hands-on tasks, and interact with mentors.",Technical
